article singular,noun singular,article plural,noun plural,meaning
Das,Land,Die,Länder,Country
Der,Lastwagen,Die,Lastwagen,Truck
Der,Zahn,Die,Zähne,Tooth
Die,Rechnung,Die,Rechnungen,Bill
Die,Szene,Die,Szenen,Scene
Das,Land,Die,Länder,Land
Der,Stern,Die,Sterne,Star
Der,Vogel,Die,Vögel,Bird
Das,Schlafzimmer,Die,Schlafzimmer,Bedroom
Der,Onkel,Die,Onkel,Uncle
Die,Art,,,Sort
Die,Gruppe,Die,Gruppen,Group
Die,Wahrheit,Die,Wahrheiten,Truth
Die,Schwierigkeit,,,Trouble
Die,Menschenmenge,Die,Menschenmengen,Crowd
Der,Bahnhof,Die,Bahnhöfe,Station
Die,Träne,Die,Tränen,Tear
Die,Klasse,Die,Klassen,Class
Das,Meer,Die,Meere,Sea
Das,Tier,Die,Tiere,Animal
Das,Zentrum,Die,Zentren,Center
Das,Gefühl,Die,Gefühle,Feeling
Das,Geschäft,Die,Geschäfte,Store
Der,Berg,Die,Berge,Mountain
Die,Nachrichten,,,News
Der,Schuh,Die,Schuhe,Shoe
Die,Katze,Die,Katzen,Cat
Der,Bildschirm,Die,Bildschirme,Screen
Die,Flasche,Die,Flaschen,Bottle
Der,Anruf,Die,Anrufe,Call
Das,Wohnzimmer,Die,Wohnzimmer,Living
Die,Wange,Die,Wangen,Cheek
Der,Student,Die,Studenten,Student
Der,Ball,Die,Bälle,Ball
Der,Anblick,Die,Anblicke,Sight
Der,Hügel,Die,Hügel,Hill
Das,Unternehmen,Die,Unternehmen,Company
Die,Kirche,Die,Kirchen,Church
Der,Regen,Die,Regen,Rain
Der,Anzug,Die,Anzüge,Suit
Die,Eins,,,One
Die,Richtung,Die,Richtungen,Direction
Der,Wille,,,Will
Der,Hals,Die,Hälse,Throat
Die,Mitte,,,Middle
Die,Antwort,Die,Antworten,Answer
Das,Zeug,,,Stuff
Das,Krankenhaus,Die,Krankenhäuser,Hospital
Die,Kamera,Die,Kameras,Camera
Das,Kleid,Die,Kleider,Dress
Die,Karte,Die,Karten,Card
Der,Hof,Die,Höfe,Yard
Die,Dunkelheit,,,Dark
Die,Scheiße,,,Shit
Das,Bild,Die,Bilder,Image
Die,Maschine,Die,Maschinen,Machine
Die,Entfernung,Die,Entfernungen,Distance
Das,Gebiet,Die,Gebiete,Area
Der,Erzähler,Die,Erzähler,Narrator
Das,Eis,Die,Eis,Ice
Der,Schnee,,,Snow
Die,Notiz,Die,Notizen,Note
Der,Spiegel,Die,Spiegel,Mirror
Der,König,Die,Könige,King
Die,Angst,,,Fear
Der,Beamte,Die,Beamten,Officer
Das,Loch,Die,Löcher,Hole
Der,Schuss,Die,Schüsse,Shot
Der,Wächter,Die,Wächter,Guard
Das,Gespräch,Die,Gespräche,Conversation
Das,Boot,Die,Boote,Boat
Das,System,Die,Systeme,System
Die,Sorge,Die,Sorgen,Care
Das,Bit,Die,Bits,Bit
Der,Film,Die,Filme,Movie
Der,Knochen,Die,Knochen,Bone
Die,Seite,Die,Seiten,Page
Der,Kapitän,Die,Kapitäne,Captain
Die,Tante,Die,Tanten,Aunt
Die,Dunkelheit,,,Darkness
Die,Kontrolle,Die,Kontrollen,Control
Das,Getränk,Die,Getränke,Drink
Das,Hotel,Die,Hotels,Hotel
Der,Mantel,Die,Mäntel,Coat
Die,Treppe,Die,Treppen,Stair
Die,Bestellung,Die,Bestellungen,Order
Die,Rose,Die,Rosen,Rose
Die,Miss,,,Miss
Der,Hut,Die,Hüte,Hat
Das,Gold,,,Gold
Die,Zigarette,Die,Zigaretten,Cigarette
Die,Wolke,Die,Wolken,Cloud
Die,Aussicht,Die,Aussichten,View
Der,Fahrer,Die,Fahrer,Driver
Die,Tasse,Die,Tassen,Cup
Die,Figur,Die,Figuren,Figure
Der,Ausdruck,Die,Ausdrücke,Expression
Der,Weg,Die,Wege,Path
Der,Schlüssel,Die,Schlüssel,Key
Der,Computer,Die,Computer,Computer
Die,Blume,Die,Blumen,Flower
Der,Ring,Die,Ringe,Ring
Das,Badezimmer,Die,Badezimmer,Bathroom
Das,Metall,Die,Metalle,Metal
Der,Mond,Die,Monde,Moon
Das,Lied,Die,Lieder,Song
Der,Soldat,Die,Soldaten,Soldier
Das,Radio,Die,Radios,Radio
Die,Geschichte,Die,Geschichten,History
Die,Welle,Die,Wellen,Wave
Der,Plan,Die,Pläne,Plan
Das,College,Die,Colleges,College
Der,Fisch,Die,Fische,Fish
Der,Garten,Die,Gärten,Garden
Der,Zug,Die,Züge,Train
Das,Geschäft,Die,Geschäfte,Shop
Der,Polizist,Die,Polizisten,Cop
Die,Kunst,,,Art
Das,Bier,Die,Biere,Beer
Der,Norden,,,North
Die,Insel,Die,Inseln,Island
Der,Bus,Die,Busse,Bus
Der,Geruch,Die,Gerüche,Smell
Das,Geräusch,Die,Geräusche,Noise
Die,Mama,,,Mama
Der,Park,Die,Parks,Park
Der,Süden,,,South
Das,Paar,Die,Paare,Pair
Der,Herr,Die,Herren,Lord
Der,Teller,Die,Teller,Plate
Die,Jacke,Die,Jacken,Jacket
Die,Hilfe,Die,Hilfen,Help
Der,Papa,Die,Papas,Daddy
Das,Gras,Die,Gräser,Grass
Der,Dank,Die,Danksagungen,Thanks
Die,Hitze,,,Heat
Der,Schlaf,,,Sleep
Das,Gehirn,Die,Gehirne,Brain
Der,Service,Die,Services,Service
Die,Reise,Die,Reisen,Trip
Der,Schlag,Die,Schläge,Beat
Das,Messer,Die,Messer,Knife
Der,Fleck,Die,Flecken,Spot
Die,Nachricht,Die,Nachrichten,Message
Das,Zeichen,Die,Zeichen,Mark
Der,Lehrer,Die,Lehrer,Teacher
Der,Blick,Die,Blicke,Gaze
Das,Dorf,Die,Dörfer,Village
Der,Winter,Die,Winter,Winter
Die,Front,Die,Fronten,Front
Das,Gesetz,Die,Gesetze,Law
Die,Oberfläche,Die,Oberflächen,Surface
Die,Bank,Die,Banken,Bank
Das,Team,Die,Teams,Team
Das,Maximum,Die,Maxima,Maximum
Die,Position,Die,Positionen,Position
Der,Magen,Die,Mägen,Stomach
Die,Wende,,,Turn
Der,Westen,,,West
Das,Mittagessen,Die,Mittagessen,Lunch
Die,Veränderung,Die,Veränderungen,Change
Das,Lebewesen,Die,Lebewesen,Creature
Die,Seele,Die,Seelen,Soul
Das,Blatt,Die,Blätter,Leaf
Die,Show,Die,Shows,Show
Das,Tor,Die,Tore,Gate
Die,Palme,Die,Palmen,Palm
Das,Plastik,,,Plastic
Die,Kraft,Die,Kräfte,Force
Der,Strand,Die,Strände,Beach
Der,Präsident,Die,Präsidenten,President
Die,Form,Die,Formen,Shape
Der,Rauch,Die,Rauch,Smoke
Das,Rad,Die,Räder,Wheel
Das,Silber,,,Silver
Das,Dach,Die,Dächer,Roof
Das,Gewicht,Die,Gewichte,Weight
Die,Zunge,Die,Zungen,Tongue
Der,Tee,Die,Tees,Tea
Die,Strecke,Die,Strecken,Track
Der,Winkel,Die,Winkel,Angle
Die,Form,Die,Formen,Form
Der,Ton,Die,Töne,Tone
Der,Kreis,Die,Kreise,Circle
Der,Frühling,Die,Frühlinge,Spring
Die,Veranda,Die,Veranden,Porch
Das,Blatt,Die,Blätter,Sheet
Das,Mitglied,Die,Mitglieder,Member
Der,Pool,Die,Pools,Pool
Das,Bedürfnis,Die,Bedürfnisse,Need
Die,Hoffnung,Die,Hoffnungen,Hope
Der,See,Die,Seen,Lake
Die,Brust,Die,Brüste,Breast
Die,Überraschung,Die,Überraschungen,Surprise
Das,Interesse,,,Interest
Der,Boden,Die,Böden,Bottom
Der,Geist,Die,Geister,Spirit
Der,Block,Die,Blöcke,Block
Die,Sprache,Die,Sprachen,Language
Die,Brücke,Die,Brücken,Bridge
Der,Staub,,,Dust
Die,Zelle,Die,Zellen,Cell
Der,Wein,Die,Weine,Wine
Der,Stiefel,Die,Stiefel,Boot
Die,Wahl,Die,Wahlen,Choice
Die,Reihe,Die,Reihen,Row
Das,Gespräch,Die,Gespräche,Talk
Das,Flugzeug,Die,Flugzeuge,Plane
Die,Uhr,Die,Uhren,Watch
Die,Information,Die,Informationen,Information
Die,Großmutter,,,Grandmother
Der,Flügel,Die,Flügel,Wing
Der,Bob,Die,Bobs,Bob
Der,Club,Die,Clubs,Club
Der,Meister,Die,Meister,Master
Die,Gnade,Die,Gnaden,Grace
Der,Wald,Die,Wälder,Forest
Die,Größe,Die,Größen,Size
Der,Satz,Die,Sätze,Set
Die,Ehe,Die,Ehen,Marriage
Die,Stirn,Die,Stirnen,Forehead
Der,Sturm,Die,Stürme,Storm
Der,Durchgang,Die,Durchgänge,Doorway
Die,Situation,Die,Situationen,Situation
Die,Theke,Die,Theken,Counter
Der,Nachbar,Die,Nachbarn,Neighbor
Das,Foto,Die,Fotos,Photo
Die,Bühne,Die,Bühnen,Stage
Das,Treffen,Die,Treffen,Meeting
Die,Krankenschwester,Die,Krankenschwestern,Nurse
Die,Sicherheit,Die,Sicherheiten,Security
Die,Waffe,Die,Waffen,Weapon
Das,Ereignis,Die,Ereignisse,Event
Die,Decke,Die,Decken,Ceiling
Der,Motor,Die,Motoren,Engine
Das,Geschenk,Die,Geschenke,Gift
Das,Restaurant,Die,Restaurants,Restaurant
Das,Brett,Die,Bretter,Board
Der,Flur,Die,Flure,Hallway
Die,Armee,,,Army
Der,Aufwand,Die,Aufwände,Effort
Der,Osten,,,East
Der,Agent,Die,Agenten,Agent
Die,Zukunft,Die,Zukunft,Future
Die,Hose,Die,Hosen,Pant
Das,Leder,,,Leather
Der,Flug,Die,Flüge,Flight
Der,Sex,,,Sex
Das,Gericht,Die,Gerichte,Court
Der,Kurs,Die,Kurse,Course
Der,Schmutz,,,Dirt
Das,Ei,Die,Eier,Egg
Das,Kinn,Die,Kinne,Chin
Der,Fremde,Die,Fremden,Stranger
Das,Vergnügen,Die,Vergnügen,Pleasure
Das,Detail,Die,Details,Detail
Die,Besatzung,Die,Besatzungen,Crew
Der,Herbst,Die,Fälle,Fall
Der,Gast,Die,Gäste,Guest
Die,Erfahrung,Die,Erfahrungen,Experience
Der,Witz,Die,Witze,Joke
Der,Sand,,,Sand
Die,Faust,Die,Fäuste,Fist
Die,Aktion,Die,Aktionen,Action
Der,Spaziergang,Die,Spaziergänge,Walk
Die,Hochzeit,Die,Hochzeiten,Wedding
Das,Geschäft,Die,Geschäfte,Deal
Die,Natur,,,Nature
Der,Planet,Die,Planeten,Planet
Der,Cousin,Die,Cousins,Cousin
Die,Bewegung,Die,Bewegungen,Movement
Das,Fleisch,,,Flesh
Der,Rekord,Die,Rekorde,Record
Das,Lager,Die,Lager,Camp
Die,Zeitung,Die,Zeitungen,Newspaper
Der,Strahl,Die,Strahlen,Ray
Der,Mensch,Die,Menschen,Human
Die,Couch,Die,Couches,Couch
Die,Bewegung,Die,Bewegungen,Motion
Der,Großvater,Die,Großväter,Grandfather
Das,Foto,Die,Fotos,Photograph
Das,Geheimnis,Die,Geheimnisse,Secret
Die,Schönheit,Die,Schönheiten,Beauty
Die,Anwesenheit,,,Presence
Die,Glocke,Die,Glocken,Bell
Das,Volk,,,Folk
Der,Knopf,Die,Knöpfe,Button
Die,Liste,Die,Listen,List
Das,Level,Die,Level,Level
Das,Datum,Die,Daten,Date
Das,Fach,Die,Fächer,Subject
Der,Unterschied,Die,Unterschiede,Difference
Die,Pause,Die,Pausen,Pause
Der,Lieferwagen,Die,Lieferwagen,Van
Die,Klinge,Die,Klingen,Blade
Das,Fernsehen,Die,Fernseher,Television
Die,Abdeckung,Die,Abdeckungen,Cover
Die,Vergangenheit,,,Past
Die,Farm,Die,Farmen,Farm
Der,Schoß,Die,Schoß,Lap
Die,Band,Die,Bands,Band
Der,Anwalt,Die,Anwälte,Lawyer
Das,Magazin,Die,Magazine,Magazine
Der,Ast,Die,Äste,Branch
Der,Rahmen,Die,Rahmen,Frame
Das,Deck,Die,Decks,Deck
Die,Wirkung,Die,Wirkungen,Effect
Der,Tanz,Die,Tänze,Dance
Die,Vision,Die,Visionen,Vision
Das,Geist,Die,Geister,Ghost
Der,Hintern,Die,Hintern,Ass
Der,Charakter,Die,Charaktere,Character
Der,Blick,Die,Blicke,Glance
Der,Abschied,,,Goodbye
Das,Parken,,,Parking
Das,Frühstück,Die,Frühstücke,Breakfast
Die,Geste,Die,Gesten,Gesture
Das,Glück,,,Luck
Die,Decke,Die,Decken,Blanket
Das,Gas,,,Gas
Der,Korridor,Die,Korridore,Corridor
Der,Professor,Die,Professoren,Professor
Das,Stück,Die,Stücke,Play
Der,Fehler,Die,Fehler,Mistake
Die,Universität,Die,Universitäten,University
Der,Ozean,Die,Ozeane,Ocean
Das,Jahrhundert,Die,Jahrhunderte,Century
Der,Honig,,,Honey
Der,Stapel,Die,Stapel,Pile
Die,Schüssel,Die,Schüsseln,Bowl
Die,Basis,Die,Basen,Base
Der,Zaun,Die,Zäune,Fence
Die,Regel,Die,Regeln,Rule
Das,Lachen,,,Laughter
Der,Ärger,,,Anger
Der,Schweiß,,,Sweat
Der,Unfall,Die,Unfälle,Accident
Das,Wetter,,,Weather
Die,Entscheidung,Die,Entscheidungen,Decision
Der,Engel,Die,Engel,Angel
Die,Stärke,Die,Stärken,Strength
Das,Huhn,Die,Hühner,Chicken
Das,Studium,Die,Studien,Study
Das,Band,Die,Bänder,Tape
Das,Handgelenk,Die,Handgelenke,Wrist
Der,Halt,Die,Halte,Stop
Die,Hüfte,Die,Hüften,Hip
Die,Regierung,Die,Regierungen,Government
Der,Bauch,Die,Bäuche,Belly
Die,Königin,Die,Königinnen,Queen
Der,Bericht,Die,Berichte,Report
Der,Schwanz,Die,Schwänze,Tail
Die,Pflanze,Die,Pflanzen,Plant
Die,Flamme,Die,Flammen,Flame
Der,Himmel,Die,Himmel,Heaven
Der,Gürtel,Die,Gürtel,Belt
Die,Nachbarschaft,Die,Nachbarschaften,Neighborhood
Die,Energie,,,Energy
Das,Grün,,,Green
Das,Viertel,Die,Viertel,Quarter
Der,Feind,Die,Feinde,Enemy
Der,Zug,Die,Züge,Move
Der,Eingang,Die,Eingänge,Entrance
Die,Bibliothek,Die,Bibliotheken,Library
Der,Schriftsteller,Die,Schriftsteller,Writer
Der,Frieden,,,Peace
Die,Berührung,Die,Berührungen,Touch
Der,Topf,Die,Töpfe,Pot
Die,Art,,,Type
Die,Ursache,Die,Ursachen,Cause
Das,Seil,Die,Seile,Rope
Der,Muskel,Die,Muskeln,Muscle
Das,Gemälde,Die,Gemälde,Painting
Der,Vorhang,Die,Vorhänge,Curtain
Die,Mahlzeit,Die,Mahlzeiten,Meal
Der,Akt,Die,Akte,Act
Der,Wolf,Die,Wölfe,Wolf
Die,Kabine,Die,Kabinen,Cabin
Die,Gebühr,Die,Gebühren,Charge
Die,Uhr,Die,Uhren,Clock
Der,Passagier,Die,Passagiere,Passenger
Der,Kumpel,Die,Kumpel,Buddy
Das,Medikament,Die,Medikamente,Drug
Die,Verwendung,Die,Verwendungen,Use
Die,Bank,Die,Bänke,Bench
Der,Verkehr,,,Traffic
Die,Erleichterung,,,Relief
Die,Mütze,Die,Mützen,Cap
Das,Pack,Die,Packs,Pack
Das,Wochenende,Die,Wochenenden,Weekend
Der,Stand,Die,Stände,Stand
Der,Aufzug,Die,Aufzüge,Elevator
Der,Geburtstag,Die,Geburtstage,Birthday
Die,Lilie,Die,Lilien,Lily
Das,Eisen,Die,Eisen,Iron
Das,Fleisch,,,Meat
Die,Augenbraue,Die,Augenbrauen,Eyebrow
Die,Antwort,Die,Antworten,Response
Die,Geschwindigkeit,Die,Geschwindigkeiten,Speed
Der,Zweck,Die,Zwecke,Purpose
Der,Rock,Die,Röcke,Skirt
Das,Quadrat,Die,Quadrate,Square
Die,Fahrt,Die,Fahrten,Drive
Der,Artikel,Die,Artikel,Article
Das,Englisch,,,English
Der,Turm,Die,Türme,Tower
Die,Schlacht,Die,Schlachten,Battle
Der,Film,Die,Filme,Film
Das,Rennen,Die,Rennen,Race
Der,Schock,Die,Schocks,Shock
Die,Sektion,Die,Sektionen,Section
Die,Art,,,Manner
Das,Schwert,Die,Schwerter,Sword
Der,Stock,Die,Stöcke,Stick
Die,Datei,Die,Dateien,File
Das,Brot,,,Bread
Das,Öl,,,Oil
Die,Kette,Die,Ketten,Chain
Die,Abteilung,Die,Abteilungen,Department
Das,Projekt,Die,Projekte,Project
Der,Mord,Die,Morde,Murder
Der,Bär,Die,Bären,Bear
Der,Test,Die,Tests,Test
Der,Besuch,Die,Besuche,Visit
Die,Milch,,,Milk
Der,Chef,Die,Chefs,Boss
Der,Ellenbogen,Die,Ellenbogen,Elbow
Das,Verlangen,,,Desire
Der,Patient,Die,Patienten,Patient
Das,Grinsen,,,Grin
Der,Liebhaber,Die,Liebhaber,Lover
Der,Preis,Die,Preise,Price
Die,Karte,Die,Karten,Map
Das,Wissen,,,Knowledge
Der,Anfang,Die,Anfänge,Beginning
Die,Kälte,,,Cold
Der,Schrank,Die,Schränke,Closet
Die,Morgendämmerung,Die,Morgendämmerungen,Dawn
Der,Tempel,Die,Tempel,Temple
Die,Freude,,,Joy
Die,Pflicht,Die,Pflichten,Duty
Die,Übung,Die,Übungen,Practice
Der,Absatz,Die,Absätze,Heel
Das,Tal,Die,Täler,Valley
Der,Kampf,Die,Kämpfe,Fight
Das,Kabel,Die,Kabel,Wire
Die,Jeans,,,Jeans
Der,Kuss,Die,Küsse,Kiss
Der,Kiefer,Die,Kiefer,Jaw
Der,Lauf,Die,Läufe,Run
Das,Halten,Die,Halten,Hold
Die,Beziehung,Die,Beziehungen,Relationship
Das,Objekt,Die,Objekte,Object
Der,Angriff,Die,Angriffe,Attack
Das,Gericht,Die,Gerichte,Dish
Die,Autobahn,Die,Autobahnen,Highway
Der,Schatten,Die,Schatten,Shade
Das,Verbrechen,Die,Verbrechen,Crime
Das,Weiß,,,White
Der,Partner,Die,Partner,Partner
Der,Priester,Die,Priester,Priest
Der,Rasen,Die,Rasen,Lawn
Das,Lachen,,,Laugh
Der,Stamm,Die,Stämme,Trunk
Das,Weinen,Die,Weinen,Cry
Das,Programm,Die,Programme,Program
Die,Fahrt,Die,Fahrten,Ride
Das,Regal,Die,Regale,Shelf
Der,Herr,Die,Herren,Gentleman
Das,Wesen,Die,Wesen,Being
Der,Stahl,,,Steel
Der,Bürgersteig,Die,Bürgersteige,Sidewalk
Die,Uniform,Die,Uniformen,Uniform
Das,Muster,Die,Muster,Pattern
Der,Beweis,Die,Beweise,Evidence
Der,Spieler,Die,Spieler,Player
Der,Roman,Die,Romane,Novel
Das,Kissen,Die,Kissen,Pillow
Die,Lampe,Die,Lampen,Lamp
Die,Schublade,Die,Schubladen,Drawer
Die,Gefahr,Die,Gefahren,Danger
Der,Detektiv,Die,Detektive,Detective
Der,Augenblick,Die,Augenblicke,Instant
Das,Denken,,,Thinking
Der,Riss,Die,Risse,Crack
Das,Gebet,Die,Gebete,Prayer
Das,Handtuch,Die,Handtücher,Towel
Der,Handschuh,Die,Handschuhe,Glove
Die,Bucht,Die,Buchten,Bay
Das,Publikum,,,Audience
Die,Dose,Die,Dosen,Can
Der,Zustand,Die,Zustände,Condition
Der,Pfad,Die,Pfade,Trail
Die,Taille,Die,Taillen,Waist
Der,Druck,Die,Drücke,Pressure
Das,Telefon,Die,Telefone,Telephone
Das,Waschbecken,Die,Waschbecken,Sink
Die,Rückkehr,Die,Rückkehr,Return
Die,Brise,Die,Brisen,Breeze
Der,Geschmack,Die,Geschmäcker,Taste
Der,Fehler,Die,Fehler,Fault
Der,Strom,Die,Ströme,Stream
Das,Ergebnis,Die,Ergebnisse,Result
Der,Autor,Die,Autoren,Author
Der,Tipp,Die,Tipps,Tip
Die,Dusche,Die,Duschen,Shower
Die,Zehe,Die,Zehen,Toe
Die,Jahreszeit,Die,Jahreszeiten,Season
Die,Hälfte,Die,Hälften,Half
Der,Narr,Die,Narren,Fool
Der,Tunnel,Die,Tunnel,Tunnel
Der,Kunde,Die,Kunden,Client
Die,Garage,Die,Garagen,Garage
Die,Mission,Die,Missionen,Mission
Der,Chef,Die,Chefs,Chief
Die,Kugel,Die,Kugeln,Bullet
Der,Markt,Die,Märkte,Market
Der,Verlust,Die,Verluste,Loss
Die,Serie,Die,Serien,Series
Der,Stift,Die,Stifte,Pen
Der,Begriff,Die,Begriffe,Term
Das,Gedicht,Die,Gedichte,Poem
Der,Prinz,Die,Prinzen,Prince
Der,Ton,Die,Tone,Clay
Das,Schloss,Die,Schlösser,Lock
Die,Realität,Die,Realitäten,Reality
Die,Schlange,Die,Schlangen,Snake
Der,Apfel,Die,Äpfel,Apple
Die,Maske,Die,Masken,Mask
Der,Kunde,Die,Kunden,Customer
Die,Geburt,Die,Geburten,Birth
Die,Pause,Die,Pausen,Break
Das,Wunder,Die,Wunder,Wonder
Das,Sonnenlicht,,,Sunlight
Der,Panzer,Die,Panzer,Tank
Das,Personal,,,Staff
Die,Lüge,Die,Lügen,Lie
Der,Glaube,,,Faith
